,Pointing,SCA,BAND,zeropoint,RA,DEC,date,true mag,true flux,DETECTED,mag,flux,Residual Mean,Residual Mean Central,SNID
109,4934,7,F184,14.621993990805093,7.291659859866023,-44.34675002694527,62061.9788,,,False,,,795.3156768267149,565.4595683574123,40018655
110,36132,7,F184,14.621993990820208,7.2918007617284974,-44.356894344612186,62467.159,4.40160574,12250.5419,True,4.469951224356606,11503.116289264368,1.2711003346162106,1.6479494221471422,40018655
111,29923,17,F184,14.621993990990552,7.179692351685009,-44.30616452437326,62386.495,7.01738585,1101.14182,True,7.255169628631235,884.561735258344,1.309613426304696,8.55214515956217,40018655
112,30309,2,F184,14.62199399096004,7.207050925033169,-44.31113755580704,62391.507,5.87160364,3163.4148,True,5.965205729284492,2902.1089215384154,1.309239812794354,7.253204100657148,40018655
113,30699,10,F184,14.621993990966011,7.2225884516441266,-44.38753498162629,62396.574,5.15646746,6112.38377,True,5.135506968965819,6231.508796476854,0.9423946548987646,10.560391998004562,40018655
114,33039,7,F184,14.621993990805093,7.291659859866023,-44.34675002694527,62426.979,3.59231723,25814.9153,True,3.592558665717592,25809.08058920794,1.2163011023687214,5.066868508988974,40018655
115,33819,2,F184,14.621993990905274,7.291614377882495,-44.34471286567087,62437.114,3.77700451,21776.8867,True,3.8103769974188353,21117.63119887244,1.384239229541406,8.648127948934691,40018655
116,34209,14,F184,14.62199399085872,7.31375151802775,-44.36064132583118,62442.181,3.84892924,20381.0193,True,3.901367396668947,19419.991761508085,1.1796385586460238,-0.5618492819756421,40018655
117,34593,6,F184,14.621993990792022,7.274751541743491,-44.33401792963315,62447.17,3.9718152,18200.0054,True,3.9824575992867306,18022.413936371377,1.3152544060870888,2.687998257060252,40018655
118,35747,5,F184,14.621993990855923,7.321179896501238,-44.319013094353096,62462.159,4.3140037,13279.9401,True,4.289603147589853,13581.719003403532,1.1113800423718143,5.141561897842511,40018655
119,36516,3,F184,14.621993990932667,7.2056132093720455,-44.33550275501352,62472.147,4.4928149,11263.4552,True,4.530701057657286,10877.161502892215,1.297112374067653,1.372149332073978,40018655
120,287,16,F184,14.621993990489472,7.917348070820529,-44.10947743593953,62001.61911,,,False,,,188.966323503093,514.1650439111199,20055347
121,3374,15,F184,14.621993990838554,7.969804079427242,-44.16043666791519,62041.709,,,False,,,1052.8272209514805,1380.231232393366,20055347
122,2994,8,F184,14.621993990921649,8.016954905176704,-44.05143663121209,62036.7765,,,False,,,943.3905302733688,172.16478087781343,20055347
123,2604,8,F184,14.62199399079864,7.964314259193096,-44.06253504271156,62031.709,,,False,,,820.9949088464773,846.7863879579427,20055347
124,1823,12,F184,14.621993990564505,7.959687691198209,-44.068180915799296,62021.5629,,,False,,,881.7274814775956,1581.320039426223,20055347
125,3379,2,F184,14.621993990712609,7.973288621822297,-44.07790217498236,62041.7765,,,False,,,1094.268923567272,-605.587303601003,20055347
126,672,17,F184,14.621993990600105,7.941845626809303,-44.09473266241311,62006.61911,,,False,,,920.1655941887512,1053.6196097721386,20055347
127,667,11,F184,14.62199399075154,7.965277426842968,-44.11628584989607,62006.55166,,,False,,,1833.139767992805,-756.209255418029,20055347
128,662,6,F184,14.621993990673134,7.991332609366666,-44.12478538243518,62006.48422,,,False,,,955.1951207267666,3287.036150653509,20055347
129,1438,4,F184,14.621993990714255,7.996843781084617,-44.16036808482029,62016.5629,,,False,,,587.8947598602426,-143.63708106453942,20055347
130,54195,9,F184,14.62199399065774,7.987910400418188,-44.15550853928913,62701.732,3.99531535,17810.309,True,3.941287454074008,18718.92991956025,0.2766510545437181,16.570751929489735,20055347
